P1,P2,Pi,C1,C2,Ci
9646,1256,18,9646,1256,19
9518,1278,18,9518,1278,19
9178,9953,18,9178,9953,19
8775,9953,18,8775,9953,19
9646,7635,18,9646,7635,19
9152,1256,18,9152,1256,19
9152,9953,19,9152,9953,20
9152,9292,19,9152,9292,20
9646,8927,19,9646,8927,20
9178,8972,19,9178,8972,20
6663,9953,19,6663,9953,20
9518,8915,19,9518,8915,20
9152,6766,19,9152,6766,20
9152,1239,19,9152,1239,20
9178,8927,19,9178,8927,20
8775,1278,19,8775,1278,20
1892,1278,19,1892,1278,20
9152,8915,19,9152,8915,20
9152,8973,19,9152,8973,20
9152,9925,19,9152,9925,20
8775,9925,19,8775,9925,20
9152,7635,19,9152,7635,20
8775,8927,19,8775,8927,20
9152,8927,19,9152,8927,20
9152,1278,19,9152,1278,20
9152,8972,19,9152,8972,20
9518,8927,19,9518,8927,20
6663,9960,19,6663,9960,20
9152,8900,19,9152,8900,20
1892,8927,19,1892,8927,20
6663,8927,19,6663,8927,20
6663,9292,19,6663,9292,20
9152,9960,19,9152,9960,20
9178,1278,19,9178,1278,20
9646,1256,19,9646,1256,20
6663,1278,19,6663,1278,20
6663,8915,19,6663,8915,20
9518,1278,19,9518,1278,20
9178,9953,19,9178,9953,20
8775,9953,19,8775,9953,20
9646,7635,19,9646,7635,20
9152,1256,19,9152,1256,20
6663,8972,19,6663,8972,20
9152,9953,20,9152,9953,21
9152,9292,20,9152,9292,21
9646,8927,20,9646,8927,21
9178,8972,20,9178,8972,21
6663,9440,20,6663,9440,21
6663,9953,20,6663,9953,21
9152,6766,20,9152,6766,21
9152,1239,20,9152,1239,21
9518,8915,20,9518,8915,21
9178,8927,20,9178,8927,21
8775,1278,20,8775,1278,21
1892,1278,20,1892,1278,21
9152,8915,20,9152,8915,21
9152,8973,20,9152,8973,21
9152,9925,20,9152,9925,21
8775,9925,20,8775,9925,21
9152,7635,20,9152,7635,21
8775,8927,20,8775,8927,21
9152,8927,20,9152,8927,21
9152,8972,20,9152,8972,21
9152,1278,20,9152,1278,21
9518,8927,20,9518,8927,21
6663,9960,20,6663,9960,21
9152,8900,20,9152,8900,21
1892,8927,20,1892,8927,21
6663,8927,20,6663,8927,21
6663,9292,20,6663,9292,21
9152,9960,20,9152,9960,21
9178,1278,20,9178,1278,21
9152,9440,20,9152,9440,21
9646,1256,20,9646,1256,21
6663,1278,20,6663,1278,21
6663,8915,20,6663,8915,21
9518,1278,20,9518,1278,21
9178,9953,20,9178,9953,21
8775,9953,20,8775,9953,21
9646,7635,20,9646,7635,21
9152,1256,20,9152,1256,21
6663,8972,20,6663,8972,21
9646,8927,21,9646,8927,22
9152,9953,21,9152,9953,22
9152,9292,21,9152,9292,22
9178,8972,21,9178,8972,22
6663,9440,21,6663,9440,22
9152,120,21,9152,120,22
6663,9953,21,6663,9953,22
9518,8915,21,9518,8915,22
9152,6766,21,9152,6766,22
9152,1239,21,9152,1239,22
9178,8927,21,9178,8927,22
8775,1278,21,8775,1278,22
1892,1278,21,1892,1278,22
9152,8915,21,9152,8915,22
9152,8973,21,9152,8973,22
9152,9925,21,9152,9925,22
8775,9925,21,8775,9925,22
9152,7635,21,9152,7635,22
8775,8927,21,8775,8927,22
9152,8972,21,9152,8972,22
9152,1278,21,9152,1278,22
9152,8927,21,9152,8927,22
9518,8927,21,9518,8927,22
6663,9960,21,6663,9960,22
9152,8900,21,9152,8900,22
1892,8927,21,1892,8927,22
6663,8927,21,6663,8927,22
6663,9292,21,6663,9292,22
9152,9960,21,9152,9960,22
9178,1278,21,9178,1278,22
9152,9440,21,9152,9440,22
9646,1256,21,9646,1256,22
6663,1278,21,6663,1278,22
6663,8915,21,6663,8915,22
9518,1278,21,9518,1278,22
9178,9953,21,9178,9953,22
8775,9953,21,8775,9953,22
9646,7635,21,9646,7635,22
9152,1256,21,9152,1256,22
6663,8972,21,6663,8972,22
9646,8927,22,9646,8927,23
9152,9953,22,9152,9953,23
9152,9292,22,9152,9292,23
9178,8972,22,9178,8972,23
6663,9440,22,6663,9440,23
9152,120,22,9152,120,23
6663,9953,22,6663,9953,23
9152,6766,22,9152,6766,23
9518,8915,22,9518,8915,23
9152,1239,22,9152,1239,23
9178,8927,22,9178,8927,23
8775,1278,22,8775,1278,23
9646,9492,22,9646,9492,23
1892,1278,22,1892,1278,23
9152,8915,22,9152,8915,23
9152,8973,22,9152,8973,23
9152,9925,22,9152,9925,23
8775,9925,22,8775,9925,23
9152,7635,22,9152,7635,23
8775,8927,22,8775,8927,23
9152,8927,22,9152,8927,23
9152,8972,22,9152,8972,23
9152,1278,22,9152,1278,23
9518,8927,22,9518,8927,23
6663,9960,22,6663,9960,23
9152,8900,22,9152,8900,23
1892,8927,22,1892,8927,23
6663,8927,22,6663,8927,23
6663,9292,22,6663,9292,23
9152,9960,22,9152,9960,23
9178,1278,22,9178,1278,23
9152,9440,22,9152,9440,23
9646,1256,22,9646,1256,23
9152,9492,22,9152,9492,23
6663,1278,22,6663,1278,23
6663,8915,22,6663,8915,23
9518,1278,22,9518,1278,23
6663,9492,22,6663,9492,23
9178,9953,22,9178,9953,23
8775,9953,22,8775,9953,23
9646,7635,22,9646,7635,23
9152,1256,22,9152,1256,23
6663,8972,22,6663,8972,23
9152,8936,23,9152,8936,24
9646,8927,23,9646,8927,24
9152,9953,23,9152,9953,24
9152,9292,23,9152,9292,24
9178,8972,23,9178,8972,24
6663,9440,23,6663,9440,24
9152,120,23,9152,120,24
6663,9953,23,6663,9953,24
9518,8915,23,9518,8915,24
9152,6766,23,9152,6766,24
9152,1239,23,9152,1239,24
9178,8927,23,9178,8927,24
8775,1278,23,8775,1278,24
9646,9492,23,9646,9492,24
1892,1278,23,1892,1278,24
9152,8915,23,9152,8915,24
9152,8973,23,9152,8973,24
9152,9925,23,9152,9925,24
8775,9925,23,8775,9925,24
9152,7635,23,9152,7635,24
8775,8927,23,8775,8927,24
9152,8927,23,9152,8927,24
9152,1278,23,9152,1278,24
9152,8972,23,9152,8972,24
9518,8927,23,9518,8927,24
6663,9960,23,6663,9960,24
9152,8900,23,9152,8900,24
1892,8927,23,1892,8927,24
6663,8927,23,6663,8927,24
6663,8936,23,6663,8936,24
6663,9292,23,6663,9292,24
9152,9960,23,9152,9960,24
9178,1278,23,9178,1278,24
9152,9440,23,9152,9440,24
9646,1256,23,9646,1256,24
9152,9492,23,9152,9492,24
6663,1278,23,6663,1278,24
6663,8915,23,6663,8915,24
9518,1278,23,9518,1278,24
6663,9492,23,6663,9492,24
9178,9953,23,9178,9953,24
8775,9953,23,8775,9953,24
9646,7635,23,9646,7635,24
9152,1256,23,9152,1256,24
6663,8972,23,6663,8972,24
9152,8936,24,9152,8936,25
9152,9953,24,9152,9953,25
9152,9292,24,9152,9292,25
9178,8972,24,9178,8972,25
9646,8927,24,9646,8927,25
6663,9440,24,6663,9440,25
9152,120,24,9152,120,25
6663,9953,24,6663,9953,25
9152,6766,24,9152,6766,25
9518,8915,24,9518,8915,25
9152,1239,24,9152,1239,25
9178,8927,24,9178,8927,25
8775,1278,24,8775,1278,25
9646,9492,24,9646,9492,25
1892,1278,24,1892,1278,25
9152,8915,24,9152,8915,25
9152,8973,24,9152,8973,25
9152,9925,24,9152,9925,25
8775,9925,24,8775,9925,25
9152,7635,24,9152,7635,25
8775,8927,24,8775,8927,25
9152,8927,24,9152,8927,25
9152,1278,24,9152,1278,25
9152,8972,24,9152,8972,25
9518,8927,24,9518,8927,25
6663,9960,24,6663,9960,25
9152,8900,24,9152,8900,25
1892,8927,24,1892,8927,25
6663,8927,24,6663,8927,25
6663,8936,24,6663,8936,25
6663,9292,24,6663,9292,25
9152,9960,24,9152,9960,25
9178,1278,24,9178,1278,25
9152,9440,24,9152,9440,25
9646,1256,24,9646,1256,25
9152,9438,24,9152,9438,25
9152,9492,24,9152,9492,25
6663,1278,24,6663,1278,25
6663,8915,24,6663,8915,25
9518,1278,24,9518,1278,25
6663,9492,24,6663,9492,25
9178,9953,24,9178,9953,25
8775,9953,24,8775,9953,25
9646,7635,24,9646,7635,25
9152,1256,24,9152,1256,25
6663,8972,24,6663,8972,25
9152,8936,25,9152,8936,26
9152,9953,25,9152,9953,26
9178,8972,25,9178,8972,26
9152,9292,25,9152,9292,26
9646,8927,25,9646,8927,26
6663,9440,25,6663,9440,26
9152,120,25,9152,120,26
6663,9953,25,6663,9953,26
9152,6766,25,9152,6766,26
9518,8915,25,9518,8915,26
9152,1239,25,9152,1239,26
